Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat4Kg,BestSquatKg,Bench4Kg,BestBenchKg,Deadlift4Kg,BestDeadliftKg,TotalKg,Place,Wilks
Willis Lewis,M,Multi-ply,44,M-M1FE-X,109.13,110,,238.14,,188.24,,299.37,725.75,1,428.15
Willis Lewis,M,Multi-ply,44,M-ODE-X,109.13,110,,,,,,299.37,299.37,1,176.61
Logan Ibele,M,Raw,22,M-ODR-X,119.75,125,,,,,,317.51,317.51,1,182.63
Brian Hill,M,Multi-ply,28,M-OFG-U,108.14,110,,415.04,,283.5,,356.07,1054.6,1,623.96
Nicholas Acree,M,Wraps,25,M-OFRC-U,163.29,140+,,340.19,,238.14,,374.21,952.54,1,520.61
Desi Hubbard,M,Multi-ply,31,M-OFG-U,107.91,110,,,,,,,,DQ,
Tim Smith,M,Raw,58,M-M4BX-X,88.27,90,,,,136.08,,,136.08,1,87.75
Harry Wotring,M,Raw,54,M-M3BX-X,109.27,110,,,,229.06,,,229.06,1,135.08
Franklin Davis,M,Raw,55,M-M4BX-X,95.66,100,,,,174.63,,,174.63,1,108.29
Robert David Sr,M,Raw,46,M-M2BR-X,139.03,140,,,,208.65,,,208.65,1,116.72
Clark Bobo,M,Raw,27,M-OBR-U,122.33,125,,,,222.26,,,222.26,1,127.23
Clark Bobo,M,Raw,27,M-OBR-U,122.33,125,,,,222.26,,,222.26,1,127.23
Tim Smith,M,Raw,58,M-M4BX-X,88.27,90,,,,136.08,,,136.08,1,87.75
Franklin Davis,M,Raw,55,M-M4BX-X,95.66,100,,,,174.63,,,174.63,1,108.29
Harry Wotring,M,Raw,54,M-M3BX-X,109.27,110,,,,229.06,,,229.06,1,135.08
Robert David Sr,M,Raw,46,M-M2BR-X,139.03,140,,,,208.65,,,208.65,1,116.72
Robert David Sr,M,Raw,46,M-M2DR-X,139.03,140,,,,,,308.44,308.44,1,172.54
Dean Smith,M,Raw,29,M-ODRC-X,86.95,90,,,,,,210.92,210.92,1,137.12
Logan Ibele,M,Raw,22,M-ODR-X,119.75,125,,,,,,317.51,317.51,1,182.63
Willis Lewis,M,Multi-ply,44,M-ODE-X,109.13,110,,,,,,299.37,299.37,1,176.61
Spencer Bramble,M,Raw,19,M-T3PR-X,89.18,90,,,,149.69,,222.26,371.95,1,238.57
Tim Workman,M,Raw,23,M-OPR-X,89.81,90,,,,188.24,,226.8,415.04,1,265.24
Joe Nielsen,M,Raw,26,M-OPR-X,131.13,140,,,,204.12,,272.16,476.27,1,268.96
Wayne VanNostrand,M,Raw,46,M-M2PR-X,132.18,140,,,,260.82,,272.16,532.97,G,300.57
Robert David Sr,M,Raw,46,M-M2PR-X,139.03,140,,,,208.65,,308.44,517.1,1,289.26
Sujata Bhakat,F,Raw,49,F-OPR-X,81.65,82.5,,,,70.31,,124.74,195.04,1,176.49
Sujata Bhakat,F,Raw,49,F-M2PR-X,81.65,82.5,,,,70.31,,124.74,195.04,1,176.49
Bela Ghosh,F,Raw,47,F-M2PR-X,57.7,60,,,,81.65,,142.88,224.53,1,258.07
Bela Ghosh,F,Raw,47,F-OPR-X,57.7,60,,,,81.65,,142.88,224.53,2,258.07
Dawn Bogart,F,Raw,42,F-OPR-X,57.79,60,,,,92.99,,149.69,242.67,1,278.57
Dawn Bogart,F,Raw,42,F-M1PR-X,57.79,60,,,,92.99,,149.69,242.67,1,278.57
Maureen Clary,F,Raw,60,F-M5PR-X,67.4,67.5,,,,95.25,,131.54,226.8,1,231.72
Maureen Clary,F,Raw,60,F-OPR-X,67.4,67.5,,,,95.25,,131.54,226.8,1,231.72
Al Reiss,M,Raw,61,M-M5PR-X,99.7,100,,,,104.33,,163.29,267.62,1,163.07
Steve Arcuri,M,Raw,26,M-NBR-X,80.2,82.5,,,,136.08,,,136.08,1,92.76
Maurice McFadden,M,Raw,25,M-OPR-X,79.92,82.5,,,,142.88,,265.35,408.23,2,278.87
Bryan Glynn,M,Raw,24,M-NBR-X,81.37,82.5,,,,151.95,,,151.95,1,102.65
Bryan Glynn,M,Raw,24,M-NPR-X,81.37,82.5,,,,151.95,,183.7,335.66,1,226.75
Jeremy Seff,M,Raw,25,M-OPR-X,66.77,67.5,,,,165.56,,226.8,392.36,1,305.18
Jeremy Seff,M,Raw,25,M-OBR-U,66.77,67.5,,,,165.56,,,165.56,1,128.77
Jeff Beckham,M,Raw,45,M-M2PR-X,94.44,100,,,,170.1,,251.74,421.84,1,263.1
Jeff Beckham,M,Raw,45,M-M2PR-X,94.44,100,,,,170.1,,251.74,421.84,2,263.1
Max Bolin,M,Raw,28,M-OBR-U,88.27,90,,,,183.7,,,183.7,1,118.46
Matt Borquez,M,Raw,28,M-OPR-X,82.1,82.5,,,,183.7,,226.8,410.5,1,275.8
Willis Lewis Jr,M,Multi-ply,44,M-M1PE-X,109.04,110,,,,185.97,,306.17,492.15,1,290.42
Sam Childs,M,Raw,66,M-M6BR-X,105.96,110,,,,183.7,,,183.7,1,109.43
Tim Workman,M,Raw,23,M-OPR-X,92.26,100,,,,190.51,,215.46,405.97,1,256
Tim Workman,M,Raw,23,M-OBR-U,92.26,100,,,,190.51,,,190.51,1,120.13
Jason Cantrell,M,Raw,35,M-OPR-X,123.2,125,,,,204.12,,242.67,446.79,1,255.37
Lindsay Seamans,F,Wraps,30,Novice-T,51.17,52,,97.52,,40.82,,102.06,240.4,1,303.43
Dawn Bogart,F,Multi-ply,42,Novice-U,55.25,56,,120.2,,79.38,,133.81,333.39,1,396.44
Caitlin Cardone,F,Raw,25,Open-T,56.7,60,,129.27,,65.77,,142.88,337.93,1,393.76
Tina Bush,F,Raw,49,Open-T,74.84,75,,88.45,,49.9,,127.01,265.35,1,252.59
Jessica Wissman,F,Wraps,24,Open-T,73.48,75,,124.74,,63.5,,117.93,306.17,1,294.87
Shayna Dence,F,Wraps,33,Open-U,74.03,75,,124.74,,61.23,,129.27,315.25,1,302.17
Dawn Bogart,F,Multi-ply,42,Open-U,55.25,56,,120.2,,79.38,,133.81,333.39,1,396.44
Tina Bush,F,Raw,49,M2,74.84,75,,88.45,,49.9,,127.01,265.35,1,252.59
Tricia Emrich,F,Wraps,43,M1,83.46,90,,106.59,,61.23,,124.74,292.57,1,261.74
Dawn Bogart,F,Multi-ply,42,M1,55.25,56,,120.2,,79.38,,133.81,333.39,1,396.44
Austin Smith,M,Raw,15,T1,74.93,75,,151.95,,117.93,,145.15,415.04,1,295.93
Eric Sassi,M,Raw,16,T2,63.59,67.5,,,,95.25,,127.01,222.26,1,180.06
Jon Rand,M,Wraps,16,T2,88.27,90,,201.85,,108.86,,217.72,528.44,1,340.77
Andrew Hause,M,Wraps,18,T3,104.87,110,,317.51,,174.63,,294.84,786.98,1,470.47
James White,M,Raw,26,Novice,79.65,82.5,,154.22,,129.27,,185.97,469.47,1,321.4
Jeff Beckham,M,Wraps,45,Novice,94.8,100,,226.8,,165.56,,249.48,641.83,1,399.62
Kenya Cherry,M,Wraps,37,Novice,130.63,140,,199.58,,149.69,,226.8,576.06,1,325.54
James White,M,Raw,26,MPF,79.65,82.5,,154.22,,129.27,,185.97,469.47,1,321.4
Scott Faircloth,M,Wraps,26,MPF,68.67,75,,192.78,,104.33,,204.12,501.22,1,381.23
Brandon Plyler,M,Wraps,26,Open-U,74.03,75,,165.56,,120.2,,204.12,489.88,1,352.28
Michael Mahaffey,M,Wraps,42,Open-U,81.83,82.5,,231.33,,147.42,,238.14,616.89,1,415.3
Gage Mason,M,Wraps,24,Open-T,109.77,110,,281.23,,154.22,,290.3,725.75,1,427.37
Logan Ibele,M,Wraps,20,Open-U,115.3,125,,297.1,,185.97,,306.17,789.25,1,458.28
Derrell Boulware,M,Wraps,28,Open-U,140.16,140+,,258.55,,172.37,,272.16,703.07,1,392.81
Mark Brewer,M,Multi-ply,43,Open-T,106.78,110,,206.38,,151.95,,229.06,587.4,1,348.99
Danny Plyler,M,Raw,58,M4,99.43,100,,185.97,,174.63,,222.26,582.87,1,355.55
Michael Mahaffey,M,Wraps,42,M1,81.83,82.5,,231.33,,147.42,,238.14,616.89,1,415.3
Jeff Beckham,M,Wraps,45,M2,94.8,100,,226.8,,165.56,,249.48,641.83,1,399.62
Willis Lewis Jr,M,Multi-ply,44,M1,108.5,110,,215.46,,165.56,,303.91,684.92,1,404.81
Mark Brewer,M,Multi-ply,43,M1,106.78,110,,206.38,,151.95,,229.06,587.4,2,348.99
John Mattei,M,Multi-ply,62,M5,116.85,125,,249.48,,158.76,,238.14,646.37,1,374.02
Max Bolin,M,Raw,28,Novice,89.9,90,,,,188.24,,,188.24,1,120.24
Tim Workman,M,Raw,23,Novice,101.97,110,,,,188.24,,,188.24,1,113.69
James Adams,M,Raw,36,Open,87.54,90,,,,206.38,,,206.38,1,133.68
Brendan VanNostrand,M,Raw,25,Open,99.52,100,,,,208.65,,,208.65,1,127.23
Jamie Dorton,M,Raw,43,Open,94.26,100,,,,199.58,,,199.58,2,124.59
Tim Workman,M,Raw,23,Open,101.97,110,,,,188.24,,,188.24,1,113.69
Lamont Keenon,M,Raw,44,M1,72.85,75,,,,145.15,,,145.15,1,105.59
Jamie Dorton,M,Raw,43,M1,94.26,100,,,,199.58,,,199.58,1,124.59
Kenny Blackmon,M,Raw,45,M2,112.94,125,,,,213.19,,,213.19,1,124.49
Wayne VanNostrand,M,Raw,46,M2,138.53,140,,,,256.28,,,256.28,1,143.44
Raymond Hubbe,M,Raw,66,M6,98.61,100,,,,145.15,,,145.15,1,88.84
Harry Wotring,M,Multi-ply,53,M3,107.68,110,,,,199.58,,,199.58,1,118.25
Lamont Keenon,M,Raw,44,Open,72.85,75,,,,145.15,,163.29,308.44,1,224.37
Andrew Mooe,M,Raw,27,Open,106.5,110,,,,167.83,,265.35,433.18,1,257.59
Harry Wotring,M,Multi-ply,53,Open,107.68,110,,,,199.58,,229.06,428.64,1,253.96
Roger Bowles,M,Raw,42,M1,118.75,125,,,,,,265.35,265.35,1,152.93
Tiffany Bellamy,F,Wraps,37,Open,50.47,52,,92.5,,45,,112.5,250,1,318.88
Taylor Nugent,F,Wraps,25,Open,57.7,60,,120,,52.5,,142.5,315,1,362.05
Kayce Hoover,F,Wraps,24,Open,59.96,60,,125,,62.5,,125,312.5,2,348.58
Dawn Bogart,F,Single-ply,43,Open,59.83,60,,150,,102.5,,182.5,435,1,486.04
Dawn Bogart,F,Single-ply,43,M-1,59.83,60,,150,,102.5,,182.5,435,1,486.04
Hanna Young,F,Raw,19,T-3,64.5,67.5,,110,,62.5,,137.5,310,1,327.09
Kelian Hagerty,F,Raw,38,Novice,64.14,67.5,,97.5,,70,,140,307.5,1,325.81
Maureen Clary,F,Raw,61,Open,67.4,67.5,,135,,102.5,,160,397.5,1,406.13
Brittany Shackelford,F,Wraps,27,Open,63.64,67.5,,160,,95,,155,410,1,436.98
Priscilla Pardue,F,Wraps,53,M-3,65.41,67.5,,117.5,,60,,115,292.5,1,305.44
Maureen Clary,F,Raw,61,M-5,67.4,67.5,,135,,102.5,,160,397.5,1,406.13
Katarina Giancroce,F,Raw,19,T-3,73.26,75,,122.5,,57.5,,132.5,312.5,1,301.56
Reyhan Roybal,F,Wraps,38,Novice,74.84,75,,117.5,,95,,162.5,375,1,356.97
Courtney Reynolds,F,Raw,29,Novice,71.26,75,,117.5,,65,,147.5,330,1,324.33
Katarina Giancroce,F,Raw,19,Novice,73.26,75,,122.5,,57.5,,132.5,312.5,2,301.56
Ivanna Guzman,F,Raw,20,Novice,72.35,75,,112.5,,50,,147.5,310,3,301.6
Deborah Omolewu,F,Raw,33,Open,74.84,75,,117.5,,75,,142.5,335,1,318.89
Jessica Wissmann,F,Wraps,25,Open,73.8,75,,167.5,,75,,155,397.5,1,381.76
Bridget McDermott,F,Wraps,31,Open,73.94,75,,157.5,,75,,145,377.5,2,362.12
Candice Maness,F,Wraps,54,M-3,74.84,75,,110,,82.5,,115,307.5,1,292.71
Shannon Nash,F,Raw,45,Open,81.78,82.5,,102.5,,172.5,,102.5,377.5,1,341.31
Shannon Nash,F,Raw,45,Open,81.78,82.5,,,,172.5,,,172.5,1,155.96
Mariah Flint,F,Raw,21,Novice,88.09,90,,90,,50,,145,285,1,248.53
Lauren Wait,F,Raw,27,Novice,86.95,90,,92.5,,70,,110,272.5,2,239.02
Alexis Eliopoulos,F,Wraps,30,Open,87.63,90,,195,,127.5,,205,527.5,1,461.07
Mariah Flint,F,Raw,21,Open,88.09,90,,,,,,145,145,1,126.44
Cathy Cranford,F,Raw,56,M-4,84.64,90,,80,,45,,92.5,217.5,1,193.23
Janet Martin,F,Raw,48,M-2,108.86,90+,,,,60,,107.5,167.5,1,136.49
Janet Martin,F,Raw,48,M-2,108.86,90+,,,,60,,,60,1,48.89
Janet Martin,F,Raw,48,M-2,108.86,90+,,,,,,107.5,107.5,1,87.6
Brannigan Coleman,M,Raw,27,Open,55.57,56,,172.5,,130,,217.5,520,1,476.98
Haris Mian,M,Raw,19,T-3,64.18,67.5,,120,,77.5,,165,362.5,1,291.36
Collin Rausch,M,Raw,21,Novice,63.59,67.5,,117.5,,110,,152.5,380,1,307.84
Joseph Thomas,M,Raw,18,T-3,71.71,75,,182.5,,125,,212.5,520,1,382.67
Chris Macera,M,Raw,21,Novice,67.72,75,,170,,137.5,,195,502.5,1,386.43
Juan Bollo,M,Raw,20,Novice,71.99,75,,172.5,,112.5,,207.5,492.5,2,361.39
Kevin Gingerich,M,Raw,32,Novice,73.8,75,,162.5,,130,,192.5,485,3,349.54
Emmanuel Correa,M,Wraps,21,Novice,74.16,75,,147.5,,127.5,,187.5,462.5,1,332.17
James Corey McManus,M,Wraps,36,Novice,74.07,75,,130,,,,,,DQ,
Bryan Glynn,M,Wraps,25,Open,73.94,75,,167.5,,142.5,,215,525,1,377.86
Ryan Reeves,M,Raw,28,Open,70.4,75,,,,132.5,,200,332.5,1,248.09
Kevin Scarborough,M,Raw,24,Open,74.84,75,,157.5,,,,,157.5,1,112.4
Kevin Scarborough,M,Raw,24,Open,74.84,75,,,,137.5,,,137.5,1,98.12
Jason Hamilton,M,Raw,35,Novice,79.56,82.5,,132.5,,112.5,,150,395,1,270.61
Ramon Cloud,M,Raw,29,Open,79.51,82.5,,220,,165,,287.5,672.5,1,460.91
Randy Rabon,M,Wraps,29,Open,81.87,82.5,,285,,152.5,,262.5,700,2,471.11
Matt Borquez,M,Wraps,29,Open,82.19,82.5,,260,,175,,247.5,682.5,3,458.25
Eric D'Angelo,M,Wraps,20,Open,78.93,82.5,,192.5,,105,,222.5,520,4,358.06
Michael McCann,M,Wraps,32,Open,81.74,82.5,,318,,202.5,,275,795,1,535.56
Maurice McFadden,M,Raw,26,Open,82.1,82.5,,,,155,,257.5,412.5,1,277.15
Micah Oxford,M,Raw,18,T-3,88.5,90,,252.5,,157.5,,222.5,632.5,1,407.31
Frank Martorana,M,Raw,23,M/P/F,87.86,90,,192.5,,137.5,,230,560,1,362.01
Thomas Tourville,M,Raw,29,Novice,88.27,90,,250,,160,,272.5,682.5,1,440.11
Damorris Jackson,M,Raw,21,Novice,88.22,90,,207.5,,157.5,,275,640,2,412.83
Justin Williams,M,Raw,24,Novice,88,90,,185,,165,,247.5,597.5,3,385.93
Michael Cain,M,Raw,31,Novice,87.54,90,,182.5,,130,,235,547.5,4,354.62
Tanner Huntley,M,Wraps,21,Novice,86.55,90,,215,,125,,275,615,1,400.81
Thomas Tourville,M,Raw,29,Open,88.27,90,,250,,160,,272.5,682.5,1,440.11
Damorris Jackson,M,Raw,21,Open,88.22,90,,207.5,,157.5,,275,640,2,412.83
Michael Cain,M,Raw,31,Open,87.54,90,,182.5,,130,,235,547.5,3,354.62
Marty West,M,Wraps,39,Open,87.82,90,,227.5,,135,,260,622.5,1,402.51
Matt Goodnight,M,Wraps,31,Open,85.55,90,,185,,150,,,,DQ,
Tanner Huntley,M,Wraps,21,Open,86.55,90,,215,,125,,275,615,2,400.81
Corey McManus,M,Raw,40,M-1,88.36,90,,222.5,,192.5,,255,670,1,431.82
Tim Boardman,M,Wraps,51,M-3,84.37,90,,147.5,,135,,190,472.5,1,312.39
Evan Kardon,M,Raw,22,Open,88.9,90,,,,160,,320,480,1,308.38
Tim Workman,M,Raw,24,Open,85.73,90,,,,205,,227.5,432.5,2,283.36
Demetrius Neal,M,Raw,40,Open,89.31,90,,,,185,,237.5,422.5,3,270.79
Travis Blackmon,M,Raw,37,Open,87.95,90,,,,137.5,,200,337.5,4,218.06
Dustin McClure,M,Single-ply,37,M/P/F,89.81,90,,,,137.5,,,137.5,1,87.87
Dustin McClure,M,Single-ply,37,Open,89.81,90,,,,137.5,,,137.5,1,87.87
Tim Workman,M,Raw,24,Open,85.73,90,,,,205,,,205,1,134.31
Max Bolin,M,Raw,29,Open,89.81,90,,,,195,,,195,2,124.62
Gabriel Pickett,M,Raw,18,T-3,98.61,100,,185,,117.5,,230,532.5,1,325.92
Jon Rand,M,Wraps,17,T-2,97.75,100,,245,,140,,242.5,627.5,1,385.48
David Luu,M,Wraps,20,Novice,96.62,100,,250,,150,,237.5,637.5,1,393.58
Charles Heffner,M,Raw,23,Open,99.52,100,,277.5,,170,,312.5,760,1,463.42
Jon Parker,M,Raw,28,Open,97.3,100,,240,,170,,295,705,2,433.94
Ranson Lee,M,Wraps,26,Open,97.93,100,,272.5,,215,,310,797.5,2,489.53
Shane Langston,M,Wraps,32,Open,99.56,100,,295,,200,,320,815,1,496.88
Andrew Mooe,M,Wraps,28,Open,99.56,100,,232.5,,170,,275,677.5,3,413.05
Jon Parker,M,Raw,28,M/P/F,97.3,100,,240,,170,,295,705,1,433.94
Damon Senaha,M,Wraps,55,M/P/F,99.56,100,,155,,107.5,,200,462.5,1,281.97
Damon Senaha,M,Wraps,55,M-4,99.56,100,,155,,107.5,,200,462.5,1,281.97
Mark Brewer,M,Single-ply,44,M-1,99.52,100,,205,,160,,240,605,1,368.91
Isaac Wooten,M,Raw,35,Novice,98.61,100,,,,172.5,,242.5,415,1,254.01
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Tim Workman,M,Raw,24,Open,85.73,90,,,,205,,,205,1,134.31
Max Bolin,M,Raw,29,Open,89.81,90,,,,195,,,195,2,124.62
Gabriel Pickett,M,Raw,18,T-3,98.61,100,,185,,117.5,,230,532.5,1,325.92
Jon Rand,M,Wraps,17,T-2,97.75,100,,245,,140,,242.5,627.5,1,385.48
David Luu,M,Wraps,20,Novice,96.62,100,,250,,150,,237.5,637.5,1,393.58
Charles Heffner,M,Raw,23,Open,99.52,100,,277.5,,170,,312.5,760,1,463.42
Jon Parker,M,Raw,28,Open,97.3,100,,240,,170,,295,705,2,433.94
Ranson Lee,M,Wraps,26,Open,97.93,100,,272.5,,215,,310,797.5,2,489.53
Shane Langston,M,Wraps,32,Open,99.56,100,,295,,200,,320,815,1,496.88
Andrew Mooe,M,Wraps,28,Open,99.56,100,,232.5,,170,,275,677.5,3,413.05
Jon Parker,M,Raw,28,M/P/F,97.3,100,,240,,170,,295,705,1,433.94
Damon Senaha,M,Wraps,55,M/P/F,99.56,100,,155,,107.5,,200,462.5,1,281.97
Damon Senaha,M,Wraps,55,M-4,99.56,100,,155,,107.5,,200,462.5,1,281.97
Mark Brewer,M,Single-ply,44,M-1,99.52,100,,205,,160,,240,605,1,368.91
Isaac Wooten,M,Raw,35,Novice,98.61,100,,,,172.5,,242.5,415,1,254.01
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
Jeff Beckham,M,Raw,46,M-2,99.52,100,,,,175,,257.5,432.5,1,263.72
Michael Dudley,M,Raw,30,Open,98.07,100,,,,235,,,235,1,144.16
